## SL2 field_label weight(automorphic) level(HNF) cusp-dim new-cusp-dim
2.0.19.1 6 [16,0,4] 21 4
2.0.19.1 7 [16,0,4] 26 4
2.0.19.1 2 [161,12,1] 4 4
2.0.19.1 3 [161,12,1] 4 0
2.0.19.1 2 [161,127,1] 0 0
2.0.19.1 3 [161,127,1] 4 0
2.0.19.1 2 [161,148,1] 4 4
2.0.19.1 3 [161,148,1] 4 0
2.0.19.1 2 [161,33,1] 0 0
2.0.19.1 3 [161,33,1] 4 0
2.0.19.1 2 [163,75,1] 0 0
2.0.19.1 3 [163,75,1] 2 0
2.0.19.1 4 [163,75,1] 4 0
2.0.19.1 2 [163,87,1] 0 0
2.0.19.1 3 [163,87,1] 2 0
2.0.19.1 4 [163,87,1] 4 0
2.0.19.1 2 [169,0,13] 9 9
2.0.19.1 3 [169,0,13] 22 20
2.0.19.1 4 [169,0,13] 34 30
2.0.19.1 2 [171,27,3] 11 5
2.0.19.1 3 [171,27,3] 10 0
2.0.19.1 2 [17,13,1] 0 0
2.0.19.1 3 [17,13,1] 2 0
2.0.19.1 4 [17,13,1] 4 0
2.0.19.1 5 [17,13,1] 4 0
2.0.19.1 6 [17,13,1] 6 0
2.0.19.1 7 [17,13,1] 8 0
2.0.19.1 8 [17,13,1] 10 0
2.0.19.1 2 [172,28,2] 5 3
2.0.19.1 3 [172,28,2] 6 0
2.0.19.1 2 [172,56,2] 5 3
2.0.19.1 3 [172,56,2] 6 0
2.0.19.1 2 [17,3,1] 0 0
2.0.19.1 3 [17,3,1] 2 0
2.0.19.1 4 [17,3,1] 4 0
2.0.19.1 5 [17,3,1] 4 0
2.0.19.1 6 [17,3,1] 6 0
2.0.19.1 7 [17,3,1] 8 0
2.0.19.1 2 [175,120,1] 0 0
2.0.19.1 3 [175,120,1] 8 0
2.0.19.1 2 [175,145,1] 4 4
2.0.19.1 3 [175,145,1] 8 0
2.0.19.1 2 [175,25,5] 7 1
2.0.19.1 3 [175,25,5] 20 0
2.0.19.1 2 [175,29,1] 4 4
2.0.19.1 3 [175,29,1] 8 0
2.0.19.1 2 [175,54,1] 0 0
2.0.19.1 3 [175,54,1] 8 0
2.0.19.1 2 [175,5,5] 7 1
2.0.19.1 3 [175,5,5] 20 0
2.0.19.1 2 [176,32,4] 6 0
2.0.19.1 3 [176,32,4] 12 0
