[184,18,2]   5 11 
[184,26,2]   3 11 
[184,64,2]   3 11 
[184,72,2]   5 11 
[184,13,1]   0  7 
[184,82,1]   3  7 
[184,101,1]   3  7 
[184,170,1]   0  7 
[191,19,1]   0  1 
[191,171,1]   0  1 
[193,73,1]   0  1 
[193,119,1]   0  1 
[196,0,14]   3 19 
[196,7,7]   0 14 
[196,14,7]   0 14 
[197,52,1]   0  1 
[197,144,1]   0  1 
[198,12,3]   0  7 
[198,18,3]   0  7 
[198,45,3]   0  7 
[198,51,3]   0  7 
[200,0,10]   0 11 
[200,10,10]   0 11 
[200,10,5]   1  7 
[200,25,5]   1  7 
[203,94,1]   0  3 
[203,108,1]   0  3 
[207,27,3]   0  3 
[207,39,3]   0  3 
[211,20,1]   0  1 
[211,190,1]   0  1 
[212,28,2]   0  7 
[212,76,2]   0  7 
[212,14,1]   0  5 
[212,38,1]   0  5 
[212,173,1]   0  5 
[212,197,1]   0  5 
[214,48,1]   0  3 
[214,58,1]   0  3 
[214,155,1]   0  3 
[214,165,1]   0  3 
[218,29,1]   1  3 
[218,79,1]   0  3 
[218,138,1]   0  3 
[218,188,1]   1  3 
[224,12,4]   6 23 
[224,40,4]   6 23 
[224,20,2]   5 19 
[224,90,2]   5 19 
[224,101,1]   1 11 
[224,122,1]   1 11 
[225,0,15]   1  3 
[226,42,1]   0  3 
[226,70,1]   2  3 
[226,155,1]   2  3 
[226,183,1]   0  3 
[232,14,2]   1 11 
[232,42,2]   0 11 
[232,72,2]   0 11 
[232,100,2]   1 11 
[232,21,1]   0  7 
[232,50,1]   0  7 
[232,181,1]   0  7 
[232,210,1]   0  7 
[233,30,1]   0  1 
[233,202,1]   0  1 
[239,72,1]   0  1 
[239,166,1]   0  1 
[242,0,11]   2  7 
[242,11,11]   2  7 
[242,15,1]   1 13 
[242,105,1]   1 13 
[242,136,1]   1 13 
[242,226,1]   1 13 
[252,18,6]   7 15 
[252,30,3]   3 11 
[252,51,3]   3 11 
[253,59,1]   0  3 
[253,105,1]   0  3 
[253,147,1]   0  3 
[253,193,1]   0  3 
[254,22,1]   0  3 
[254,104,1]   0  3 
[254,149,1]   0  3 
[254,231,1]   0  3 
[256,0,16]   4 25 
[256,8,8]   3 23 
[256,16,8]   3 23 
[256,20,4]   0 23 
[256,40,4]   0 23 
[256,52,2]   0 19 
[256,74,2]   0 19 
[256,90,1]   0 13 
[256,165,1]   0 13 
[259,45,1]   0  3 
[259,213,1]   0  3 
[261,21,3]   0  3 
[261,63,3]   0  3 
[263,123,1]   0  1 
[263,139,1]   0  1 
[268,22,2]   2  7 
[268,110,2]   2  7 
[268,78,1]   0  5 
[268,122,1]   0  5 
[268,145,1]   0  5 
[268,189,1]   0  5 
[274,16,1]   0  3 
[274,120,1]   0  3 
[274,153,1]   0  3 
[274,257,1]   0  3 
[275,20,5]   0  3 
